id,replies
,"RT @TheKPVotes: ""Si tienes un sueño, tienes que hacer un viaje para cumplir ese sueño.""
 
- Katy Perry

My #TeenChoice for #ChoiceSummerFem…"
1148413117971537921,@needyjensoo @MileyCyrus
,RT @MileyCyrus: Keepin it casual https://t.co/Vlyp9bOKGC
,RT @MileyCyrus: https://t.co/VIGLIdGJIG
,"RT @miquelachudy: for a culture of people who thinks it’s cute to not drink water and instead live on ice coffee, who smoke juuls all day,…"
,Just finished watching the black mirror episode with @MileyCyrus and I have to say it was outstanding!!! Best black mirror episode ever!
1149080651833978882,@MikeAdamOnAir @New1027 @Radiodotcom @MileyCyrus Thank You!
1149080651833978882,@MikeAdamOnAir @New1027 @Radiodotcom @MileyCyrus ❤️❤️❤️❤️
,RT @MileyCyrus: https://t.co/eTqHXj3Tgx https://t.co/BfcNCk23k1
,"RT @daahmom: This man is serving God, giving dignity and a proper burial to discarded aborted babies. 

Do they look like “clumps of cells”…"
,"RT @MikeAdamOnAir: #Smilers, I see you! #MothersDaughter by #MileyCyrus coming your way in just under 10 mins. on @New1027!!! Listen in whe…"
,RT @MileyCyrus: https://t.co/T7Y8kElIbd
,RT @New1027: doooone. gonna play the latest from @MileyCyrus for you before 6:30! Tune in! ~@MikeAdamOnAir https://t.co/6LnI8b3GpX
,"RT @vmas: We'll never stop obsessing over @MileyCyrus...

Let's look back at how her career began 👑✨ https://t.co/jp2HbQUUBR"
1149069318115733504,@MCyrusArgentina @LuliBeade @fast_animals @MileyCyrus @MileyOfficial Okey negri lo haré en tu honor ✨
,"🌎 Apple Music Album Chart update:
16.- SHE IS COMING by @MileyCyrus (-3) {-518 pts.} 
[41 days|peak #12]… https://t.co/KOT2krJSEr"
,This is my lock screen 😍 #mileycyrus #mothersdaughteroutnow https://t.co/HsgYZpfqkE
,"RT @aaronphilipxo: swish swish, motherfucker! 

#MOTHERSDAUGHTER @MileyCyrus &lt;3 https://t.co/J73TILaZVB"
,RT @Elodie0DC: #DemiLovato #TheVamps #ShawnMendes #OneDirection #BTS #SelenaGomez #CNCO #5SOS #JustinBieber #JonasBrothers #ArianaGrande #F…
,#DemiLovato #TheVamps #ShawnMendes #OneDirection #BTS #SelenaGomez #CNCO #5SOS #JustinBieber #JonasBrothers… https://t.co/Szp8y7z4K8
1149080968000659457,"@selenavergonha @MileyCyrus @MileyOfficial Apenas da Vogue Germany, era para ela ter sido em 2013 na edição de Sete… https://t.co/8zGk0lPIVE"
1149064089466916864,@LorenaTrejo @MileyCyrus I’m sorri bbgirl 🥺
1149080968000659457,"@selenavergonha @chartsmcyrus @MileyCyrus @MileyOfficial She’s never been vogue US, they had an issue with her afte… https://t.co/JCutEilehJ"
,RT @DannyCrafts94: On a Roll - Ashley O Parody https://t.co/ArgrlPI22I via @YouTube #AshleyO #BlackMirror #OnaRoll #Netflix #MileyCyrus
,RT @liamhemsnewss: #news @LiamHemsworth and @MileyCyrus new house. The recently married duo’s two-acre property home featured two levels wi…
